"year","make","model"
2001,"AUDI","A3"
2001,"AUDI","A4"
2001,"AUDI","A4 QUATTRO"
2001,"AUDI","A6"
2001,"AUDI","A6 QUATTRO"
2001,"AUDI","A8 QUATTRO"
2001,"AUDI","ALLROAD QUATTRO"
2001,"AUDI","S3"
2001,"AUDI","S4"
2001,"AUDI","S6"
2001,"AUDI","S8"
2001,"AUDI","TT"
2001,"AUDI","TT QUATTRO"
2001,"BMW","320I"
2001,"BMW","323I"
2001,"BMW","325CI"
2001,"BMW","325I"
2001,"BMW","325XI"
2001,"BMW","330CI"
2001,"BMW","330I"
2001,"BMW","330XI"
2001,"BMW","525I"
2001,"BMW","530I"
2001,"BMW","540I"
2001,"BMW","740I"
2001,"BMW","740IL"
2001,"BMW","750IL"
2001,"BMW","F650 ENDURO"
2001,"BMW","F650CS"
2001,"BMW","F650GS"
2001,"BMW","F650GS ABS"
2001,"BMW","F650GS DAKAR"
2001,"BMW","K1200LT"
2001,"BMW","K1200LTC"
2001,"BMW","K1200LTI ICON"
2001,"BMW","K1200RS"
2001,"BMW","M3"
2001,"BMW","M5"
2001,"BMW","R1100RL"
2001,"BMW","R1100RS ABS"
2001,"BMW","R1100RT"
2001,"BMW","R1100S"
2001,"BMW","R1100SA"
2001,"BMW","R1150GS"
2001,"BMW","R1150R"
2001,"BMW","R1150RS"
2001,"BMW","R1150RT"
2001,"BMW","R1200C"
2001,"BMW","R1200C AVANTGARDE"
2001,"BMW","R1200C CLASSIC"
2001,"BMW","R1200C EURO"
2001,"BMW","R1200C INDEPENDENT"
2001,"BMW","R1200C MONTANA"
2001,"BMW","R1200C PHOENIX"
2001,"BMW","R1200C STILETTO"
2001,"BMW","R850R"
2001,"BMW","X5"
2001,"BMW","Z3"
2001,"BMW","Z8"
2001,"FORD","COURIER"
2001,"FORD","CROWN VICTORIA"
2001,"FORD","E SUPER DUTY"
2001,"FORD","E-150 ECONOLINE"
2001,"FORD","E-150 ECONOLINE CLUB WAGON"
2001,"FORD","E-250 ECONOLINE"
2001,"FORD","E-350 ECONOLINE"
2001,"FORD","E-350 ECONOLINE CLUB WAGON"
2001,"FORD","E-450 ECONOLINE SUPER DUTY"
2001,"FORD","E-450 ECONOLINE SUPER DUTY S"
2001,"FORD","E-450 ECONOLINE SUPER DUTY STRIPPED"
2001,"FORD","ECONOLINE"
2001,"FORD","ESCAPE"
2001,"FORD","ESCORT"
2001,"FORD","EXCURSION"
2001,"FORD","EXPEDITION"
2001,"FORD","EXPLORER"
2001,"FORD","EXPLORER SPORT TRAC"
2001,"FORD","F-100 RANGER"
2001,"FORD","F-150"
2001,"FORD","F-250"
2001,"FORD","F-250 SUPER DUTY"
2001,"FORD","F-350"
2001,"FORD","F-350 SUPER DUTY"
2001,"FORD","F-450"
2001,"FORD","F-450 SUPER DUTY"
2001,"FORD","F-550 SUPER DUTY"
2001,"FORD","F53"
2001,"FORD","F650"
2001,"FORD","F750"
2001,"FORD","FIESTA"
2001,"FORD","FOCUS"
2001,"FORD","GRAND MARQUIS"
2001,"FORD","KA"
2001,"FORD","LOBO"
2001,"FORD","MONDEO"
2001,"FORD","MUSTANG"
2001,"FORD","RANGER"
2001,"FORD","SABLE"
2001,"FORD","TAURUS"
2001,"FORD","WINDSTAR"
